filename,time,latitude,longitude,altitude,sequence_id
frame_002134.jpg,2021/03/18 12:08:35.715,55.914784,9.20322,68.5,2
frame_002159.jpg,2021/03/18 12:08:38.418,55.914798,9.203196,68.6,2
frame_002184.jpg,2021/03/18 12:08:41.033,55.914885,9.203018,68.8,2
frame_002209.jpg,2021/03/18 12:08:43.534,55.914997,9.202809,68.8,2
frame_002234.jpg,2021/03/18 12:08:45.953,55.915114,9.202586,68.8,2
frame_002259.jpg,2021/03/18 12:08:48.683,55.915245,9.20234,68.7,2
frame_002284.jpg,2021/03/18 12:08:51.288,55.915371,9.20211,68.5,2
frame_002309.jpg,2021/03/18 12:08:53.913,55.915505,9.201889,68.5,2
frame_002334.jpg,2021/03/18 12:08:56.619,55.915649,9.201681,68.5,2
frame_002359.jpg,2021/03/18 12:08:59.306,55.915817,9.20146,68.6,2
frame_002384.jpg,2021/03/18 12:09:01.911,55.915979,9.201266,68.5,2
frame_002409.jpg,2021/03/18 12:09:04.529,55.916141,9.201067,68.5,2
frame_002434.jpg,2021/03/18 12:09:07.228,55.916271,9.200778,68.6,2
frame_002459.jpg,2021/03/18 12:09:09.954,55.91632,9.2004,68.6,2
frame_002484.jpg,2021/03/18 12:09:12.577,55.916262,9.200033,68.6,2
frame_002509.jpg,2021/03/18 12:09:15.169,55.916103,9.19976,68.5,2
frame_002534.jpg,2021/03/18 12:09:17.794,55.91588,9.19967,68.3,2
frame_002559.jpg,2021/03/18 12:09:20.489,55.915641,9.199816,68.2,2
frame_002584.jpg,2021/03/18 12:09:22.968,55.915501,9.200165,68.3,2
frame_002609.jpg,2021/03/18 12:09:25.609,55.915504,9.20063,68.4,2
frame_002634.jpg,2021/03/18 12:09:28.147,55.915628,9.201058,68.5,2
frame_002659.jpg,2021/03/18 12:09:30.781,55.915781,9.201453,68.6,2
frame_002684.jpg,2021/03/18 12:09:33.488,55.915863,9.201899,68.6,2
frame_002709.jpg,2021/03/18 12:09:36.212,55.915722,9.202269,68.5,2
frame_002734.jpg,2021/03/18 12:09:38.736,55.915509,9.202561,68.5,2
