# PhotoID	X	Y	Z	r11	r12	r13	r21	r22	r23	r31	r32	r33
DJI_0282	252406.0990	6149601.2844	47.5615	-0.897705887989862	-0.437237622907500	0.054289960236975	0.440185153512927	-0.884720837910957	0.153316892718760	-0.019004454612906	0.161531111803064	0.986684615581155
DJI_0283	252403.7878	6149596.6718	47.4311	-0.897447879927306	-0.437528617641773	0.056178390493706	0.440708622367187	-0.883806938278544	0.157038867870099	-0.019058147475575	0.165692500117492	0.985993297350248
DJI_0284	252401.4368	6149591.9170	47.3515	-0.897368047708027	-0.437370545414841	0.058630989725635	0.440909915882993	-0.883198887704569	0.159869230414941	-0.018139267590935	0.169312523934107	0.985395471985906
DJI_0285	252399.2830	6149587.5828	47.3375	-0.897579800420925	-0.436408816013703	0.062432741264910	0.440580673290779	-0.883018490798401	0.161762218180753	-0.015465193143864	0.172701158692210	0.984852850728164
DJI_0286	252397.1602	6149582.9649	47.3494	-0.897538072438207	-0.436167672562175	0.064677429877845	0.440675305192071	-0.882250675335961	0.165647279673157	-0.015188282252574	0.177176486252936	0.984061892769596
DJI_0287	252394.9205	6149578.3289	47.2808	-0.896959945751516	-0.437184687831791	0.065821003052651	0.441802006479351	-0.880769708973925	0.170457346057036	-0.016548195921526	0.181973263089411	0.983164222666963
DJI_0293	252383.1015	6149582.2263	47.4378	0.927452575392459	0.369168619539846	-0.059550405077874	-0.373793945703945	0.910794329647916	-0.175304806654809	-0.010478862198291	0.184846475293006	0.982711541612686
DJI_0294	252385.3110	6149586.8535	47.2362	0.924447250168610	0.375677642103609	-0.065296178135996	-0.381248255115968	0.907564487531901	-0.176001332216512	-0.006859273046407	0.187598001573657	0.982221940387632
DJI_0295	252387.6793	6149591.7075	47.1043	0.922789225902966	0.378945659118471	-0.069715364107726	-0.385285909168329	0.905705957587176	-0.176780899950841	-0.003848734043701	0.189991857263312	0.981778122296427
DJI_0296	252389.9190	6149596.2747	47.0041	0.921767094716794	0.380746085113525	-0.073333769629590	-0.387739708649740	0.904229533336686	-0.178960524635834	-0.001827958854973	0.193394337332930	0.981119406012327
DJI_0297	252392.3696	6149601.1087	46.9017	0.921050888774371	0.381804728172442	-0.076749005420974	-0.389442094967631	0.902815859340457	-0.182368798840635	-0.000339050385822	0.197860237714707	0.980230182853148
DJI_0298	252394.5056	6149605.5019	46.8863	0.920623164106508	0.382352014046864	-0.079119700864121	-0.390451869431737	0.901820001149499	-0.185116242355929	0.000572160626653	0.201314735876498	0.979526441578375
DJI_0332	252383.3257	6149612.2156	47.9281	-0.894329465638299	-0.439772351986418	0.082310906442879	0.447280341435852	-0.883223301175173	0.140914500411623	0.010728609236190	0.162840040191480	0.986594150729820
DJI_0333	252381.0977	6149607.6076	47.8040	-0.893856892841730	-0.440275510568330	0.084719123656495	0.448210206885805	-0.882234285476353	0.144118964655639	0.011290064778930	0.166793705887918	0.985927174852921
DJI_0334	252378.8713	6149603.0298	47.6459	-0.893583849471348	-0.440790104107745	0.084923424828788	0.448800813154147	-0.881162968338715	0.148760389017648	0.009259269741427	0.171043583186240	0.985219954413565
DJI_0335	252376.6375	6149598.4842	47.5376	-0.893026035984006	-0.441489671661291	0.087128461888740	0.449893799380955	-0.880215053886376	0.151053064154198	0.010003416079566	0.174092873858205	0.984678426156748
DJI_0336	252374.5027	6149593.9943	47.4341	-0.892419761777590	-0.442210594241567	0.089647973369999	0.451082956609825	-0.879031274115558	0.154363808526862	0.010542060755252	0.178195986114442	0.983938542535932
DJI_0337	252372.2975	6149589.3578	47.4079	-0.892021268247896	-0.442776312359828	0.090814063924305	0.451890180904652	-0.877925616045783	0.158246254592623	0.009660299963090	0.182197008492632	0.983214589345052
DJI_0628	252408.2672	6149598.3835	47.2986	0.410408373174627	-0.898024156076175	0.158485274810721	0.911892741869440	0.404934964810069	-0.066927584747271	-0.004073641367509	0.171989212969715	0.985090410098518
DJI_0629	252403.6000	6149600.6319	47.1115	0.413707139219537	-0.896000436751628	0.161336977471625	0.910404536367899	0.407771731935451	-0.069898460606177	-0.003159607497434	0.175799408347284	0.984420938879912
DJI_0630	252398.7157	6149602.9904	46.9930	0.417058614210116	-0.893870259604600	0.164493377701176	0.908875337796576	0.410723077714400	-0.072471882671636	-0.002780765775335	0.179728997179687	0.983712231760125
DJI_0631	252393.8961	6149605.3365	47.1167	0.420569055557644	-0.891797481642052	0.166790051394694	0.907255831994455	0.413990502877954	-0.074153346781574	-0.002919729336792	0.182507849868857	0.983200060982935
DJI_0632	252389.5116	6149607.5497	47.2620	0.422203999977945	-0.890309846263430	0.170564240241066	0.906498898552463	0.415052069424513	-0.077404951970791	-0.001878649992732	0.187296976251133	0.982301538918364
DJI_0633	252384.9103	6149609.8415	47.4197	0.422880349369176	-0.889564030305891	0.172765870771239	0.906184638585857	0.414856328374288	-0.081997729229689	0.001269215672950	0.191233006548937	0.981543848382654
DJI_0634	252380.2578	6149612.0177	47.5729	0.423982283167402	-0.888445819200046	0.175792633253261	0.905669271220557	0.415600635330420	-0.083900435516009	0.001481461096798	0.194782284253240	0.980845383847071
DJI_0658	252373.4587	6149601.5227	47.2520	-0.438796490338438	0.883989428638600	-0.161308183679160	-0.898111515442294	-0.437276107984100	0.046747312395740	-0.029212084770107	0.165385293909339	0.985796306881856
DJI_0659	252378.3911	6149599.1839	47.0878	-0.439447150749067	0.882930607744805	-0.165286852489590	-0.897797019534730	-0.437677604194189	0.048977816421218	-0.029098340383643	0.169917205409646	0.985028644199088
DJI_0660	252382.8812	6149596.9892	46.9811	-0.440269907277852	0.881899827918931	-0.168567797227439	-0.897422588705769	-0.438123913810850	0.051770005096566	-0.028197624477735	0.174069324303917	0.984329601459892
DJI_0661	252387.6047	6149594.6997	46.9113	-0.440326210724399	0.881115673680709	-0.172476078756686	-0.897404638179264	-0.437883580138059	0.054063718146466	-0.027888053417844	0.178586505200327	0.983528909914140
