filename,time,latitude,longitude,altitude,sequence_id
frame_000705.jpg,2021/03/18 12:06:04.073,55.914948,9.20318,135.8,1
frame_000730.jpg,2021/03/18 12:06:06.817,55.914951,9.203172,135.8,1
frame_000755.jpg,2021/03/18 12:06:09.322,55.914977,9.203082,135.9,1
frame_000780.jpg,2021/03/18 12:06:11.742,55.915031,9.202872,136.0,1
frame_000805.jpg,2021/03/18 12:06:14.556,55.915111,9.202523,136.2,1
frame_000830.jpg,2021/03/18 12:06:17.301,55.915192,9.202126,136.2,1
frame_000855.jpg,2021/03/18 12:06:19.930,55.915288,9.20172,136.0,1
frame_000880.jpg,2021/03/18 12:06:22.760,55.915398,9.201286,136.1,1
frame_000905.jpg,2021/03/18 12:06:25.749,55.915514,9.200812,136.0,1
frame_000930.jpg,2021/03/18 12:06:28.672,55.915626,9.20036,135.9,1
frame_000955.jpg,2021/03/18 12:06:31.616,55.915741,9.199901,135.9,1
frame_000980.jpg,2021/03/18 12:06:34.227,55.915848,9.199485,136.0,1
frame_001005.jpg,2021/03/18 12:06:36.748,55.915951,9.199079,135.9,1
frame_001030.jpg,2021/03/18 12:06:39.408,55.916056,9.198673,135.8,1
frame_001055.jpg,2021/03/18 12:06:41.839,55.916158,9.198283,135.8,1
frame_001080.jpg,2021/03/18 12:06:44.560,55.916264,9.197855,135.8,1
frame_001105.jpg,2021/03/18 12:06:47.255,55.916374,9.197421,135.7,1
frame_001130.jpg,2021/03/18 12:06:49.772,55.91648,9.197017,135.7,1
frame_001155.jpg,2021/03/18 12:06:52.412,55.916588,9.196637,135.2,1
frame_001180.jpg,2021/03/18 12:06:55.250,55.916619,9.19658,135.0,1
frame_001205.jpg,2021/03/18 12:06:58.068,55.916711,9.196387,135.5,1
frame_001230.jpg,2021/03/18 12:07:00.893,55.916907,9.196241,135.7,1
frame_001255.jpg,2021/03/18 12:07:03.705,55.917147,9.196276,135.9,1
frame_001280.jpg,2021/03/18 12:07:06.200,55.917356,9.196486,135.8,1
frame_001305.jpg,2021/03/18 12:07:08.930,55.917535,9.196878,135.9,1
frame_001330.jpg,2021/03/18 12:07:11.332,55.91758,9.197362,135.6,1
frame_001355.jpg,2021/03/18 12:07:13.939,55.917444,9.197807,135.5,1
frame_001380.jpg,2021/03/18 12:07:16.564,55.917172,9.19796,135.5,1
frame_001405.jpg,2021/03/18 12:07:19.277,55.916872,9.197827,135.6,1
frame_001430.jpg,2021/03/18 12:07:22.023,55.916536,9.197752,135.7,1
frame_001455.jpg,2021/03/18 12:07:24.645,55.916206,9.197708,135.5,1
frame_001480.jpg,2021/03/18 12:07:27.381,55.915897,9.197671,135.6,1
frame_001505.jpg,2021/03/18 12:07:30.217,55.915605,9.197636,135.7,1
frame_001530.jpg,2021/03/18 12:07:32.737,55.915315,9.197813,135.9,1
frame_001555.jpg,2021/03/18 12:07:35.351,55.915092,9.198202,135.8,1
frame_001580.jpg,2021/03/18 12:07:37.990,55.914948,9.198673,135.9,1
frame_001605.jpg,2021/03/18 12:07:40.618,55.914854,9.199207,136.0,1
frame_001630.jpg,2021/03/18 12:07:43.240,55.91481,9.199768,136.1,1
frame_001655.jpg,2021/03/18 12:07:45.753,55.914822,9.20029,136.1,1
frame_001680.jpg,2021/03/18 12:07:48.271,55.914867,9.200802,136.0,1
frame_001705.jpg,2021/03/18 12:07:50.891,55.914925,9.201284,136.0,1
frame_001730.jpg,2021/03/18 12:07:53.613,55.914969,9.201454,135.5,1
